titulo;localizacion;precio;numero_calle;metros_cuadrados;habitaciones;baños;parcela_m2;plaza_garaje;estado;orientacion;año_construccion;calefaccion;planta;ascensor;LATITUD;LONGITUD
Piso en venta en calle de Lagasca;Castellana;1195000;;133;3.0;2.0;;;;sur;1967.0;;Planta 2ª interior;True;40.42081111111111;-3.685977777777778
 Chalet pareado en venta en ronda de Sobradiel;Conde Orgaz-Piovera;2190000;;380;7.0;5.0;196.0;True;Segunda mano/buen estado;sur;1994.0;Gas natural;;;40.45098055555556;-3.6453166666666665
Piso en venta en calle de Noblejas;Palacio;1595000;;164;3.0;3.0;;;Segunda mano/buen estado;;;;Planta 2ª exterior;True;40.41679444444444;-3.7121444444444447
Ático en venta en avenida de Machupichu;Conde Orgaz-Piovera;870000;;141;3.0;2.0;;True;Segunda mano/buen estado;este;1996.0;Gas natural;Planta 4ª exterior;True;40.45545277777778;-3.623525
Piso en venta en calle de Villanueva;Recoletos;3750000;;238;4.0;3.0;;;Segunda mano/buen estado;;;Gas natural;Planta 1ª exterior;True;40.422936111111106;-3.689702777777778
Piso en venta en calle de Fortuny;Almagro;2750000;;241;4.0;4.0;;True;Segunda mano/buen estado;sur;1969.0;;Planta 6ª exterior;True;40.42828333333333;-3.691191666666667
Piso en venta en calle de Goya;Goya;3600000;;379;5.0;5.0;;;Segunda mano/buen estado;sur;1955.0;Calefacción individual;Planta 3ª exterior;True;40.42585833333333;-3.689602777777778
 Casa o chalet independiente en venta en calle de Cambrils;Mirasierra;2460000;;753;7.0;6.0;750.0;True;Segunda mano/buen estado;sur;;Calefacción individual;;;40.487516666666664;-3.7087583333333334
Piso en venta en plaza Manolete;Cuatro Caminos;1175000;;165;3.0;3.0;;True;Segunda mano/buen estado;;1967.0;Calefacción central;Planta 15ª exterior;True;40.45420277777778;-3.6913861111111115
Piso en venta en calle de Villalar;Recoletos;2490000;;207;4.0;5.0;;;Segunda mano/buen estado;oeste;1900.0;Calefacción individual;Planta 5ª exterior;True;40.42078055555555;-3.69015
Piso en venta en calle de Hermosilla;Goya;1420000;;115;2.0;3.0;;;Segunda mano/buen estado;;1930.0;Gas natural;Planta 1ª exterior;True;40.42667222222222;-3.689325
Piso en venta en calle de Serrano;Castellana;4400000;;306;4.0;5.0;;;Segunda mano/buen estado;oeste;;;Planta 3ª exterior;True;40.420830555555554;-3.6887888888888893
Dúplex en venta en calle de Santiago;Palacio;1600000;;216;2.0;3.0;;;Segunda mano/buen estado;sur;1880.0;Calefacción individual;Planta 5ª exterior;True;40.41608333333333;-3.709738888888889
Piso en venta en calle de Noblejas;Palacio;1595000;;164;3.0;3.0;;;Segunda mano/buen estado;norte;1989.0;Calefacción individual;Planta 2ª exterior;True;40.41679444444444;-3.7121444444444447
Piso en venta en calle de Serrano;Bernabéu-Hispanoamérica;1950000;;330;5.0;4.0;;True;Segunda mano/buen estado;este;;Calefacción central;Planta 5ª exterior;True;40.420830555555554;-3.6887888888888893
Piso en venta en calle de Hermosilla;Goya;1420000;;114;2.0;2.0;;True;Segunda mano/buen estado;este;;Calefacción individual;Planta 1ª exterior;True;40.42667222222222;-3.689325
Piso en venta en calle de Azcona;Guindalera;490000;;69;3.0;;;;;oeste;1960.0;Calefacción individual;Planta 6ª interior;True;40.43295555555555;-3.6723027777777775
Piso en venta en calle de Viriato;Almagro;1680000;;186;3.0;3.0;;;Segunda mano/buen estado;;;Calefacción central;Planta 3ª exterior;True;40.43609444444444;-3.703902777777778
Ático en venta en calle de Villalar;Recoletos;2490000;;200;4.0;4.0;;;Segunda mano/buen estado;oeste;1900.0;Gas natural;Planta 5ª interior;True;40.42078055555555;-3.69015
Piso en venta en avenida de Burgos;Castilla;600000;;123;4.0;2.0;;;Segunda mano/buen estado;este;1988.0;Gas natural;Planta 13ª exterior;True;40.46938055555556;-3.6768944444444442
Piso en venta en calle de Hermosilla;Fuente del Berro;637000;;107;2.0;2.0;;;Segunda mano/buen estado;norte;1960.0;Calefacción central;Planta 1ª exterior;True;40.42667222222222;-3.689325
Piso en venta en calle de Esparteros;Sol;1790000;;214;2.0;2.0;;;Segunda mano/buen estado;;1880.0;Eléctrica;Planta 4ª exterior;True;40.416330555555554;-3.7049972222222225
Piso en venta en calle de Maldonado;Castellana;3500000;;316;3.0;4.0;;;Segunda mano/buen estado;sur;1925.0;Gas;Planta 3ª exterior;True;40.434105555555554;-3.6861472222222225
